cid,g,a,d,i,cl
D,U,6,1,12,2
D,U,6,2,1,0
D,U,6,4,29,0
D,U,6,5,30,0
D,U,6,6,36,1
D,U,6,7,36,0
D,U,6,8,17,0
D,U,6,9,31,1
D,U,6,10,33,0
D,U,6,11,59,1
D,U,6,12,35,0
D,U,6,13,49,0
D,U,6,14,60,0
D,U,6,15,49,0
D,U,6,16,54,1
D,U,6,17,64,0
D,U,6,18,106,0
D,U,6,19,104,0
D,U,6,20,119,2
D,U,6,21,42,1
D,U,6,22,77,2
D,U,6,23,62,0
D,U,6,24,62,0
D,U,6,25,55,0
D,U,6,26,67,0
D,U,6,27,57,0
